internal_vendor_id,vendor_name_normalized,total_received_amount,vendor_revenue_percentile,vendor_revenue_robust_zscore,total_transaction_count,average_ticket_size,unique_mps_served,unique_states_served,primary_state,primary_activity,primary_mp_id,primary_mp_name,single_mp_reliance_pct,feature_generated_at
INTERNAL_VND_00001,R K CONSTRUCTION,156739090.0,1.0,317.20744095555233,182,861203.7912087912,6,1,BIHAR,Lighting of public spaces,INTERNAL_MP_058,TARIQ ANWAR,33.86,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00002,RANJIT SALES CORPORATION,136010400.0,0.9999553112570944,275.14971734860245,249,546226.5060240964,5,1,BIHAR,Lighting of public spaces,INTERNAL_MP_060,DR MOHAMMAD JAWED,44.86,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00003,BIOLUNAR ENERGY SOLUTION,130529300.0,0.9999106225141887,264.0287739188896,258,505927.51937984495,5,1,BIHAR,Street lights,INTERNAL_MP_050,MR GOPAL JEE THAKUR,55.02,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00004,SHRI GURU KRIPA NARSINGH ASSOCIATES,125604534.0,0.999865933771283,254.03661101535332,82,1531762.6097560977,3,1,UTTAR PRADESH,Street lights,INTERNAL_MP_424,NEERAJ MAURYA,47.04,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00005,JAI CONSTRUCTION,122963972.0,0.9998212450283773,248.67901114951448,150,819759.8133333334,2,2,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_434,RAM PRASAD CHAUDHARY,97.56,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00006,KRIDL BHUSIRI ACCOUNT WORKS,119863039.0,0.9997765562854717,242.38733603460517,245,489236.893877551,16,1,KARNATAKA,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_180,SHREYAS. M. PATEL,18.1,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00007,ALAM BROTHERS,113404000.0,0.999731867542566,229.28219156920431,121,937223.1404958678,1,1,BIHAR,Lighting of public spaces,INTERNAL_MP_078,VIJAYLAKSHMI DEVI,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00008,SHIV DURGA INDUSTRIES,102772259.0,0.9996871787996604,207.7107934519727,73,1407839.1643835616,3,1,BIHAR,Lighting of public spaces,INTERNAL_MP_046,GIRIDHARI YADAV,51.74,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00009,SIGMA ENTERPRISES,94050000.0,0.9996424900567547,190.01366168676077,38,2475000.0,1,1,BIHAR,Setting up of laboratories,INTERNAL_MP_043,PRADEEP KUMAR SINGH,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00010,MS RAMESH CHANDRA PATEL,90325342.0,0.999597801313849,182.45647226985042,87,1038222.3218390804,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_471,PANKAJ CHOWDHARY,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00011,NIGHTINGALE NETWORKS LLP,88448056.0,0.9995531125709434,178.64753037727561,219,403872.401826484,1,1,UTTAR PRADESH,Street lights,INTERNAL_MP_445,MUKESH RAJPUT,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00012,SRIJAN CONSTRUCTION,82624494.0,0.9995084238280377,166.83174457489562,121,682847.0578512397,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_462,KARAN BHUSHAN SINGH,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00013,MURPHY THUMRAH,81575653.0,0.9994637350851321,164.70368607792176,56,1456708.0892857143,1,1,MANIPUR,Construction of community centers and community halls,INTERNAL_MP_291,ANGOMCHA BIMOL AKOIJAM,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00014,S K ENTERPRISES,78679435.0,0.9994190463422264,158.82736991180258,60,1311323.9166666667,9,4,BIHAR,Installation of fixed garden gym equipment,INTERNAL_MP_075,MANOJ KUMAR,39.06,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00015,BIHARI JI MAHADEV ASSOCIATES,77782670.0,0.9993743575993207,157.00786783471105,170,457545.1176470588,4,1,UTTAR PRADESH,Lighting of public spaces,INTERNAL_MP_491,SHRI ARUN KUMAR SAGAR,30.93,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00016,SAI ENTERPRISES,77043057.0,0.999329668856415,155.50722118843927,101,762802.5445544554,7,5,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_417,PROF SP SINGH BAGHEL,76.26,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00017,PRAHARSH INFRASTRUCTURE,76771727.0,0.9992849801135094,154.95670293830992,26,2952758.730769231,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_432,TANUJ PUNIA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00018,TATA MOTORS,74899355.0,0.9992402913706038,151.15773136483412,53,1413195.3773584906,20,6,KERALA,Purchase of vans and buses for educational institutions,INTERNAL_MP_191,K. C VENUGOPAL,11.25,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00019,BAKE BIHARI TRADERS,72370320.0,0.9991956026276981,146.02641554013402,296,244494.32432432432,1,1,UTTAR PRADESH,Street lights,INTERNAL_MP_443,JITENDRA KUMAR DOHARE,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00020,AMIT KUMAR JUNIOR ENGINEER,71561875.0,0.9991509138847924,144.3861113838453,194,368875.6443298969,1,1,JHARKHAND,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_161,SANJAY SETH,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00021,SHREE VISHNU TRADERS,70129779.0,0.9991062251418867,141.48044306874104,25,2805191.16,3,1,UTTAR PRADESH,Lighting of public spaces,INTERNAL_MP_476,ASHOK KUMAR RAWAT,39.06,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00022,MS RAJ KAMAL CONSTRUCTIONS,69796613.0,0.9990615363989811,140.80446192650615,61,1144206.7704918033,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_448,AKSHAYA YADAV,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00023,CHANDAN ENTERPRISES,69646000.0,0.9990168476560755,140.49887387797952,60,1160766.6666666667,3,1,BIHAR,Construction of bus-sheds or bus-stops,INTERNAL_MP_046,GIRIDHARI YADAV,42.14,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00024,SML ISUZU LTD,66787910.0,0.9989721589131698,134.69991797368516,36,1855219.7222222222,13,4,KERALA,Purchase of vans and buses for educational institutions,INTERNAL_MP_103,CAPTAIN VIRIATO FERNANDES,26.25,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00025,GYAN GANGA,65502244.0,0.9989274701702641,132.09135055920538,184,355990.45652173914,5,3,BIHAR,Purchase of books and periodicals for libraries/digitization of library books,INTERNAL_MP_055,ARUN BHARTI,59.19,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00026,AADI AND RUDRANSH CONSTRUCTION COMPANY,63720410.0,0.9988827814273584,128.4760771441721,46,1385226.3043478262,2,1,UTTAR PRADESH,Setting up public non-conventional energy plants,INTERNAL_MP_422,KISHORI LAL,89.94,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00027,VE COMMERCIAL VEHICLES LTD,62565606.0,0.9988380926844528,126.13302375043618,37,1690962.3243243243,11,1,KERALA,Purchase of vans and buses for educational institutions,INTERNAL_MP_195,SHRI HIBI EDEN,21.94,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00028,INTENT COMPUTER SOLUTIONS,62450000.0,0.9987934039415471,125.8984635734397,24,2602083.3333333335,2,1,BIHAR,Setting up of laboratories,INTERNAL_MP_081,SMT VEENA DEVI,92.15,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00029,MYSORE NIRMITHI KENDRA,62412500.0,0.9987487151986415,125.82237749972927,165,378257.57575757575,3,1,KARNATAKA,Construction of community centers and community halls,INTERNAL_MP_185,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,63.75,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00030,T S SOLAR POWER SYSTEM,62244313.0,0.9987040264557357,125.48113247361898,96,648378.2604166666,2,1,TAMIL NADU,Lighting of public spaces,INTERNAL_MP_392,CN ANNADURAI,57.44,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00031,RAJESH KUMAR PAL,62204113.0,0.9986593377128301,125.39956820260139,53,1173662.5094339622,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_495,SWAMI SACHCHIDANANDHARI SAKSHI JI MAHARAJ,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00032,SUNNY ENTERPRISES,62020218.0,0.9986146489699245,125.0264522419353,22,2819100.8181818184,1,1,UTTAR PRADESH,Lighting of public spaces,INTERNAL_MP_481,PRAVEEN PATEL,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00033,SITA RAM PATEL,61073569.0,0.9985699602270188,123.10573742615121,262,233105.2251908397,2,1,JHARKHAND,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_159,VISHNU DAYAL RAM,99.46,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00034,SHYAM SOLAR TRADING,60375792.0,0.9985252714841132,121.68997443267274,107,564259.738317757,2,2,UTTAR PRADESH,Street lights,INTERNAL_MP_451,AFZAL ANSARI,74.1,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00035,SADGURU SAI INFRA WORLD PVT LTD REWA,60199660.0,0.9984805827412075,121.3326093037457,104,578842.8846153846,1,1,MADHYA PRADESH,Street lights,INTERNAL_MP_238,DR. RAJESH MISHRA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00036,SIDDHU ENTERPRISES,58285938.0,0.9984358939983018,117.44974015299186,59,987897.2542372881,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_423,KANWAR SINGH TANWAR,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00037,GRAND TRADING COMPANY,56457000.0,0.9983912052553962,113.73889451353043,81,697000.0,1,1,BIHAR,Street lights,INTERNAL_MP_061,DINESH CHANDRA YADAV,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00038,NIRMITHI KENDRA DAVANGERE,56200000.0,0.9983465165124905,113.2174512883683,87,645977.0114942528,1,1,KARNATAKA,Construction of community centers and community halls,INTERNAL_MP_177,DR. PRABHA MALLIKARJUN,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00039,RAJEEV RANJAN JUNIOR ENGINEER,55862000.0,0.9983018277695849,112.53166214399162,112,498767.85714285716,1,1,JHARKHAND,Construction of culverts and bridges,INTERNAL_MP_158,SUKHDEO BHAGAT,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00040,ARVIND KUMAR PANDEY,55473149.0,0.9982571390266792,111.74269825470166,156,355597.108974359,2,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_429,SANATAN PANDEY,96.53,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00041,ARUNODAY PRAKASHAN,55000000.0,0.9982124502837735,110.78269692963458,16,3437500.0,2,1,BIHAR,Purchase of books and periodicals for libraries/digitization of library books,INTERNAL_MP_081,SMT VEENA DEVI,81.82,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00042,MAHI ENTERPRISES,53641199.0,0.9981677615408678,108.02574138179979,256,209535.93359375,1,1,UTTAR PRADESH,Lighting of public spaces,INTERNAL_MP_467,VIJAY KUMAR DUBEY,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00043,ANUJ SINGHAL CONTRACTOR,53082951.0,0.9981230727979622,106.89307742242117,126,421293.2619047619,1,1,UTTAR PRADESH,Street lights,INTERNAL_MP_433,CHHATRA PAL SINGH GANGWAR,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00044,QUALITTY ENTERPRISES,52377382.0,0.9980783840550566,105.46150475730668,120,436478.18333333335,2,1,TAMIL NADU,Street lights,INTERNAL_MP_367,K E PRAKASH,75.79,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00045,MANNAT CONSTRUCTION,51925912.0,0.9980336953121509,104.54548929869209,259,200486.14671814672,2,1,UTTAR PRADESH,Lighting of public spaces,INTERNAL_MP_440,ANAND BHADAURIYA,89.38,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00046,ELECTROMECH ENTERPRIES,51774667.0,0.9979890065692452,104.23861894620318,184,281384.0597826087,2,1,UTTAR PRADESH,Lighting of public spaces,INTERNAL_MP_437,BHOLA SINGH,64.52,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00047,NATIONAL INFRATECH,51553774.0,0.9979443178263395,103.79043545073338,442,116637.49773755656,2,1,UTTAR PRADESH,Lighting of public spaces,INTERNAL_MP_478,RUCHI VIRA,93.53,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00048,DHANASEKARAN K,49833996.0,0.9978996290834339,100.30107129943808,56,889892.7857142857,1,1,TAMIL NADU,Purchase of furniture and fixtures for educational purposes,INTERNAL_MP_368,MALAIYARASAN D,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00049,RMK ENTERPRISES,49550400.0,0.9978549403405282,99.72566580183855,12,4129200.0,2,1,UTTAR PRADESH,Lighting of public spaces,INTERNAL_MP_491,SHRI ARUN KUMAR SAGAR,76.5,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00050,SOMYA CONSTRUCTION,49082754.0,0.9978102515976226,98.77682985446823,331,148286.2658610272,1,1,UTTAR PRADESH,Street lights,INTERNAL_MP_442,DEVESH SHAKYA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00051,MP AGRO BIAORA,47158656.0,0.9977655628547168,94.87290819435921,88,535893.8181818182,1,1,MADHYA PRADESH,Installation of fixed garden gym equipment,INTERNAL_MP_232,RODMAL NAGAR,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00052,VISHWANATH ENTERPRISES,45283519.0,0.9977208741118112,91.0683265410485,64,707554.984375,1,1,UTTAR PRADESH,Installing community drinking water plants,INTERNAL_MP_464,RAMESH AWASTHI,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00053,SHRI GANESH ASSOCIATES PROPRIETOR NARAYAN SHARMA,43544349.0,0.9976761853689056,87.53961675931608,123,354019.0975609756,1,1,MADHYA PRADESH,Installing tube-wells and borewells,INTERNAL_MP_224,SHANKAR LALWANI,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00054,GOPAL CHANDRA CHOWDHURY,42305152.0,0.9976314966259999,85.0253331784163,37,1143382.4864864864,2,1,WEST BENGAL,Street lights,INTERNAL_MP_508,ARUP CHAKRABORTY,91.55,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00055,ASSISTANT ENGINEER RAMGARH,42154488.0,0.9975868078830943,84.71964165282942,107,393967.1775700935,1,1,BIHAR,Construction of community centers and community halls,INTERNAL_MP_049,SUDHAKAR SINGH,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00056,RAMAN CHIHANSUNG,42000000.0,0.9975421191401885,84.40619137668604,24,1750000.0,1,1,MANIPUR,Development of playground,INTERNAL_MP_292,ALFRED KANNGAM S ARTHUR,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00057,MP STATE AGRO INDUSTRIES DEVELOPMENT CORP LTD,41807174.0,0.9974974303972829,84.01495475670505,191,218885.7277486911,1,1,MADHYA PRADESH,Purchase of mobile water tankers,INTERNAL_MP_214,DURGA DAS UIKEY,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00058,S K CONSTRUCTION,41139924.0,0.9974527416543773,82.66112988515083,66,623332.1818181818,5,3,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_419,SHRI SATISH KUMAR GAUTAM,93.65,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00059,ANNPURNA TRADING,40465248.0,0.9974080529114716,81.29223794203996,31,1305330.5806451612,2,1,BIHAR,Setting up of laboratories,INTERNAL_MP_061,DINESH CHANDRA YADAV,74.08,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00060,AJAY KUMAR SINGH,40218252.0,0.997363364168566,80.79109245238182,335,120054.48358208955,3,1,UTTAR PRADESH,Street lights,INTERNAL_MP_494,RAMBHUAL NISHAD,49.34,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00061,DEVESH KUMAR PATLE,39998181.0,0.9973186754256603,80.34457676364774,226,176983.1017699115,1,1,MADHYA PRADESH,Construction of culverts and bridges,INTERNAL_MP_213,BHARTI PARDHI,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00062,M S Y R ENTERPRISES,39787677.0,0.9972739866827546,79.91747215403866,49,811993.4081632653,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_437,BHOLA SINGH,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00063,MK INFRATECH,39376639.0,0.9972292979398489,79.08349168561769,144,273448.88194444444,2,1,UTTAR PRADESH,Installing community drinking water plants,INTERNAL_MP_489,ZIA UR REHMAN,91.86,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00064,EXECUTIVE ENGINER NREP GIRIDIH,39032762.0,0.9971846091969433,78.38577833176912,161,242439.5155279503,2,1,JHARKHAND,Lighting of public spaces,INTERNAL_MP_157,ANNPURNA DEVI,58.45,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00065,BIRENDRA KUMAR MAHATO,38572500.0,0.9971399204540377,77.45192423955288,202,190952.9702970297,1,1,JHARKHAND,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_150,DULU MAHATO,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00066,SHRI GURU KRIPA NARSINGH ASSOSIATES,37203872.0,0.997095231711132,74.67503008248204,4,9300968.0,1,1,UTTAR PRADESH,Lighting of public spaces,INTERNAL_MP_476,ASHOK KUMAR RAWAT,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00067,BIDYUT BHANDARI,37112787.0,0.9970505429682263,74.49022208184432,15,2474185.8,1,1,WEST BENGAL,Lighting of public spaces,INTERNAL_MP_516,ASIT KUMAR MAL,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00068,KANHAIYA KUMAR SINGH,36742422.0,0.9970058542253206,73.73876558345064,86,427237.4651162791,1,1,JHARKHAND,Construction of common work sheds/ common covered sitting area,INTERNAL_MP_155,BIDYUT BARAN MAHATO,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00069,PROJECT MANAGER NIRMITHI KENDRA MANDYA,36575000.0,0.996961165482415,73.39907271324405,103,355097.0873786408,1,1,KARNATAKA,Construction of community centers and community halls,INTERNAL_MP_184,H.D. KUMARASWAMY,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00070,VIGYAN UPKARAN KENDRA,36175000.0,0.9969164767395093,72.58748792699949,29,1247413.7931034483,2,1,BIHAR,"Purchase of smart boards, visual display units and projectors",INTERNAL_MP_056,RAMPRIT MANDAL,79.94,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00071,GLOSIA ENERGY INDIA PRIVATE LIMITED,35938221.0,0.9968717879966037,72.10707234174397,30,1197940.7,2,1,WEST BENGAL,Lighting of public spaces,INTERNAL_MP_529,ADHIKARI SOUMENDU,84.94,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00072,JITENDRA KUMAR SINGH,35725987.0,0.996827099253698,71.6764576279344,45,793910.8222222222,2,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_457,ANOOP PRADHAN BALMIKI,93.82,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00073,BHAGWATI CHAND,35289867.0,0.9967824105107923,70.79158673549195,789,44727.334600760456,1,1,UTTAR PRADESH,Street lights,INTERNAL_MP_470,PRIYA SAROJ,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00074,INTERNATIONAL SCIENTIFIC STORES,34939000.0,0.9967377217678867,70.07969093750377,26,1343807.6923076923,3,1,BIHAR,Setting up of laboratories,INTERNAL_MP_081,SMT VEENA DEVI,63.32,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00075,GANDHI CONSTRUCTION AND SUPPLIER,34852494.0,0.996693033024981,69.90417355370657,303,115024.73267326732,1,1,UTTAR PRADESH,Lighting of public spaces,INTERNAL_MP_435,VINOD KUMAR BIND,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00076,CHANCH PRO ENGINEERS,34798800.0,0.9966483442820754,69.79523046992503,126,276180.95238095237,2,1,BIHAR,Purchase of furniture and fixtures for educational purposes,INTERNAL_MP_055,ARUN BHARTI,86.21,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00077,KPL EQUIPMENTS PRIVATE LIMITED,34721452.0,0.9966036555391696,69.63829431980892,87,399097.1494252874,1,1,MADHYA PRADESH,Street lights,INTERNAL_MP_227,GYANESHWAR PATIL,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00078,SHIV KUMAR THEKEDAR,34469115.0,0.996558966796264,69.12631214429244,294,117241.88775510204,1,1,UTTAR PRADESH,Lighting of public spaces,INTERNAL_MP_466,UTKARSH VERMA MADHUR,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00079,ATHARV ENTERPRISES,34446064.0,0.9965142780533583,69.07954254202312,5,6889212.8,1,1,UTTAR PRADESH,Lighting of public spaces,INTERNAL_MP_475,SMT ANUPRIYA PATEL,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00080,DHARMENDRA ENTERPRISES,34020702.12,0.9964695893104527,68.21649946588215,170,200121.77717647058,1,1,UTTAR PRADESH,Lighting of public spaces,INTERNAL_MP_430,KRISHNA DEVI SHIVSHANKER PATEL,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00081,HINDUSTHAN POWER TECHNOLOGY,33636942.0,0.9964249005675471,67.43786477848367,91,369636.7252747253,1,1,TAMIL NADU,Lighting of public spaces,INTERNAL_MP_376,V S MATHESWARAN,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00082,SHYAM SWAROOP MANUFACTURERE,33472404.8,0.9963802118246414,67.10402505775548,260,128740.01846153846,1,1,UTTAR PRADESH,Lighting of public spaces,INTERNAL_MP_458,NARAYAN DAS AHIRWAR,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00083,ATANU PATRA,33234473.0,0.9963355230817357,66.62127048514601,46,722488.5434782609,2,1,WEST BENGAL,Lighting of public spaces,INTERNAL_MP_527,KALIPADA SAREN,64.76,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00084,MAHALAXMI INDUSTRIES,33171828.0,0.99629083433883,66.49416616281029,121,274147.3388429752,2,1,MADHYA PRADESH,Purchase of mobile water tankers,INTERNAL_MP_218,RAHUL SINGH LODHI,52.2,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00085,RAKESH KUMAR SHARMA,33054370.0,0.9962461455959244,66.2558483482535,45,734541.5555555555,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_457,ANOOP PRADHAN BALMIKI,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00086,SHYAM SUNDER ENTERPRISES,32953015.0,0.9962014568530188,66.05020290822895,33,998576.2121212122,4,1,BIHAR,Lighting of public spaces,INTERNAL_MP_046,GIRIDHARI YADAV,42.48,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00087,TANYA CONSTRUCTION,32841533.0,0.9961567681101131,65.82401017037866,64,513148.953125,2,2,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_417,PROF SP SINGH BAGHEL,95.5,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00088,MP STATE AGRO IND DEV CORP LTD,32627520.0,0.9961120793672074,65.38978593323226,97,336366.1855670103,1,1,MADHYA PRADESH,Construction of common work sheds/ common covered sitting area,INTERNAL_MP_238,DR. RAJESH MISHRA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00089,MP STATE COOPERATIVE MARKETING FED LI RAJGARH,32574620.0,0.9960673906243017,65.28245384525141,67,486188.3582089552,1,1,MADHYA PRADESH,Installation of fixed garden gym equipment,INTERNAL_MP_232,RODMAL NAGAR,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00090,THE MANANGING DIRECTOR KERALA MEDICAL SERVICE COPORATION LTD,32562250.0,0.9960227018813961,65.2573555857368,1,32562250.0,1,1,LAKSHADWEEP,Purchase of hospital equipment,INTERNAL_MP_212,MUHAMMED HAMDULLAH SAYEED,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00091,MS GANPATI CONSTRUCTIONS,32509859.0,0.9959780131384904,65.15105623939645,63,516029.50793650793,1,1,UTTAR PRADESH,Lighting of public spaces,INTERNAL_MP_418,DEVENDRA ALIAS BHOLE SINGH,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00092,SHIV KUMAR,32409967.0,0.9959333243955848,64.94837917072759,394,82258.79949238579,4,3,UTTAR PRADESH,Lighting of public spaces,INTERNAL_MP_466,UTKARSH VERMA MADHUR,99.9,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00093,B PAUL AND CO,32263762.0,0.995888635652679,64.65173478654539,103,313240.4077669903,2,1,WEST BENGAL,Lighting of public spaces,INTERNAL_MP_539,KARTICK CHANDRA PAUL,81.3,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00094,BOMMAI ZILLA NIRMITHI KENDRA,32225000.0,0.9958439469097734,64.57308816283435,97,332216.4948453608,1,1,KARNATAKA,Construction of buildings for community cultural activities,INTERNAL_MP_181,BASAVARAJ BOMMAI,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00095,AL ARQAM ENTERPRISES,32148095.0,0.9957992581668678,64.417050842869,114,282000.8333333333,1,1,UTTAR PRADESH,Lighting of public spaces,INTERNAL_MP_485,MOHIBBULLAH,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00096,BIJAY BHUSAN,32119475.0,0.9957545694239621,64.3589819514132,83,386981.6265060241,1,1,JHARKHAND,Construction of common work sheds/ common covered sitting area,INTERNAL_MP_155,BIDYUT BARAN MAHATO,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00097,NAMASKAR BOOKS,32000000.0,0.9957098806810565,64.11657172057178,101,316831.68316831684,3,2,JHARKHAND,Purchase of books and periodicals for libraries/digitization of library books,INTERNAL_MP_158,SUKHDEO BHAGAT,75.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_00098,ARJUN KUMAR BAURI,31484925.0,0.9956651919381507,63.07150413613447,67,469924.25373134325,2,1,JHARKHAND,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_162,JOBA MAJHI,97.62,2026-08-26T10:44:17.312957+00:00
